,Curves_Predicted,Minimum_AIC_value,Mu1,Mu2,Mu3,Mu4,Mu5,Coef1,Coef2,Coef3,Coef4,Coef5
Sample 1,5,-1516.004,28.8510254,48.1490036,68.1803503,89.0569604,112.156653,0.07050601,0.13072499,0.2263166,0.31545774,0.25699466
Sample 2,4,-1013.964,78.6182099,93.5148646,107.202179,125.508445,0.0,0.10897253,0.21804332,0.36484128,0.30814287,0.0
Sample 3,3,-448.317,21.9629541,33.5192306,41.9525858,0.0,0.0,0.08165849,0.37283083,0.54551068,0.0,0.0
Sample 4,2,-567.715,44.6792956,58.5066163,0.0,0.0,0.0,0.15470747,0.84529253,0.0,0.0,0.0
Sample 5,5,-1666.361,30.8756043,49.2020619,72.488984,99.6975078,129.117617,0.17078384,0.18023886,0.19372999,0.23313912,0.22210818999999996
Sample 6,4,-913.641,44.3306436,58.7001289,72.7464768,89.5417493,0.0,0.10973124,0.25769961,0.37303643,0.25953271999999994,0.0
Sample 7,5,-627.898,1.86404566,8.30979917,30.6825168,20.3949643,40.8207556,0.02586037,0.02441112,0.3655169,0.07725494,0.5069566700000001
Sample 8,3,-471.281,23.6335183,33.2626484,45.7047584,0.0,0.0,0.27736913,0.44771069,0.2749201799999999,0.0,0.0
Sample 9,3,-798.214,68.5230219,84.6087402,102.131152,0.0,0.0,0.20131126,0.43826352,0.36042522,0.0,0.0
Sample 10,4,-1378.076,114.589073,135.306047,152.22053,177.489141,0.0,0.12819608,0.40433944,0.32070124,0.14676324000000007,0.0
Sample 11,5,-1262.877,20.8077397,34.3988858,51.5176825,71.8571708,94.5776707,0.15757149,0.17872661,0.20051644,0.23435033,0.22883512999999994
Sample 12,4,-508.635,12.5626284,20.1206113,28.3346701,39.1925325,0.0,0.09366934,0.27523421,0.37884514,0.25225131,0.0
Sample 13,4,-833.73,55.9000021,67.2139412,78.1154987,95.9135852,0.0,0.17261296,0.29243813,0.31399979,0.22094912,0.0
Sample 14,3,-540.579,37.3438451,48.1486344,62.150612,0.0,0.0,0.26232701,0.43129975,0.30637324,0.0,0.0
Sample 15,4,-859.043,61.1055834,73.9438335,85.6087644,101.935791,0.0,0.12555094,0.22178445,0.34494356,0.30772105,0.0
Sample 16,5,-765.031,11.1635651,18.41939,27.3365212,39.149506,54.5132028,0.14386123,0.27622711,0.24826363,0.17911136,0.15253667000000004
Sample 17,4,-1094.25,70.239065,86.1849832,47.0335853,101.652516,0.0,0.08116605,0.40909042,0.01928062,0.49046291,0.0
Sample 18,5,-886.621,1.92791026,46.1281238,9.52548145,24.5070063,55.6979416,0.01902987,0.30248155,0.0184497,0.01973115,0.64030773
Sample 19,3,-691.442,45.2549861,58.7095844,75.4218347,0.0,0.0,0.26674592,0.44221571,0.29103837000000005,0.0,0.0
Sample 20,5,-1184.807,25.8297678,39.7212454,56.0896172,74.046233,93.4007601,0.11673517,0.14114245,0.18759294,0.27423364,0.28029579999999993
Sample 21,5,-1228.034,36.8520502,52.048791,66.3312128,82.2581947,99.7250112,0.03867444,0.12777238,0.2238604,0.33956326,0.27012952000000007
Sample 22,4,-719.1,38.9359536,49.517866,59.8959509,74.7015532,0.0,0.17342985,0.26808543,0.31336137,0.24512335000000007,0.0
