,Curves_Predicted,Minimum_BIC_value,Mu1,Mu2,Mu3,Mu4,Mu5,Coef1,Coef2,Coef3,Coef4,Coef5
Sample 1,5,-1744.662,32.29419449576512,53.18091603223358,74.77736602275198,97.05358677018481,123.02877373554027,0.08582297,0.15723478,0.25867074,0.30651882,0.19175269
Sample 2,5,-1770.053,53.40307851784376,75.86082240380243,95.38073710884272,113.64925708308962,135.15937508070505,0.03527736,0.09989332,0.30150572,0.37769641,0.18562719000000005
Sample 3,5,-704.272,7.522711378885716,16.870770144502423,37.42558844953048,27.360322512869327,46.926544965256724,0.0340598,0.04559966,0.54955483,0.13025537,0.24053033999999993
Sample 4,4,-955.926,16.36956135202725,33.296678038077545,49.56620320909544,60.282247487363705,0.0,0.02069779,0.0436901,0.25815916,0.6774529499999999,0.0
Sample 5,5,-1925.781,27.511579303610812,46.5914065822391,71.82812192709696,101.39999551001213,133.58849937350163,0.16044835,0.184401,0.19832186,0.24013907,0.21668971999999997
Sample 6,5,-1388.246,29.644334336349587,46.50851927276645,62.53404802359537,78.62301140684038,98.71854282947696,0.04903788,0.12976732,0.31122221,0.34497295,0.16499964000000006
Sample 7,5,-713.712,2.1563050352581437,10.377241640919133,23.855087583581856,34.319133012643576,44.71462220676514,0.02819915,0.03200449,0.14771383,0.46791361,0.3241689200000001
Sample 8,5,-763.884,15.143259045206637,23.805795396958818,32.0738941512773,41.84331521022475,55.22947546981163,0.05492922,0.21801068,0.34864269,0.24810868,0.13030873
Sample 9,5,-1521.151,40.20853923471051,60.36464984209311,76.48569464440867,92.25800556080688,110.73616104295087,0.02307416,0.0872341,0.29340875,0.39402935,0.20225364000000007
Sample 10,5,-2259.914,93.33443441029488,119.44315593075183,140.5327062304298,163.779264893521,197.5569974710929,0.0508471,0.1656071,0.46108675,0.22043823,0.10202081999999996
Sample 11,5,-1399.277,17.75669238166202,32.05524041462793,51.046342710964396,73.87612571239002,99.45125398035657,0.14328943,0.18381155,0.20922741,0.24649789,0.21717372000000001
Sample 12,5,-713.372,4.802654766647246,13.735653308856222,22.361743468852424,32.124404052608924,45.47220416439863,0.04701845,0.12023566,0.33306738,0.33975524,0.15992326999999995
Sample 13,5,-1419.511,37.34208662937917,55.32153100103416,69.5385344742264,85.31323835686368,106.5310271658359,0.03772244,0.16565318,0.38039276,0.26533444,0.1508971799999999
Sample 14,5,-957.349,23.28389552432588,35.351262684574806,45.196560671337394,56.5274460817875,71.01454378300005,0.03487847,0.16766096,0.35072161,0.28467727,0.16206169000000004
Sample 15,5,-1477.566,41.0691055542145,59.31535560218468,75.66836261859167,91.94072344176118,111.38943457740957,0.0353133,0.11251504,0.30816393,0.36201243,0.18199530000000003
Sample 16,5,-871.228,6.78184008870506,15.482445899796193,25.472619096320415,39.968044397029615,59.62186827669391,0.08134573,0.25966223,0.29291595,0.20761538,0.15846071000000003
Sample 17,5,-1612.497,13.886619632568875,36.347659575777016,89.6675281874018,106.40946227181925,71.61003315549304,0.02951744,0.03190756,0.47871147,0.34034038,0.11952314999999997
Sample 18,5,-964.713,2.22241704459778,12.059195395789999,34.69029611716745,50.0927412683744,60.40008849707732,0.02123659,0.02414025,0.04582346,0.57397533,0.33482437
Sample 19,5,-1237.041,26.027604727722853,41.82099311724996,54.19805926196859,68.11804536029146,85.96411402161988,0.02967393,0.15544152,0.35849124,0.30353032,0.15286299000000003
Sample 20,5,-1337.081,19.93898002456902,35.31416257957769,54.489667435301946,75.54031650022812,97.6974799364061,0.10456442,0.14807435,0.19977263,0.29402725,0.25356134999999996
Sample 21,5,-1544.541,33.0761338877239,53.127397304454995,70.97060131862139,89.38640716426076,110.84498977495048,0.04814566,0.15907441,0.2807838,0.34609777,0.16589835999999997
Sample 22,5,-1224.953,23.433192266859937,38.137540433048315,51.11174711820758,65.38841974455423,83.68101490750585,0.03235195,0.16279685,0.33784741,0.30679537,0.16020841999999996
