,X,Actual,Best Poisson,Best NB,Poiss 1,Poiss 2,Poiss 3,Poiss 4,Poiss 5,Neg Binom 1,Neg Binom 2,Neg Binom 3,Neg Binom 4,Neg Binom 5
0,10.0,0.0006700856314927018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11.0,0.0006569712939124328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,12.0,0.0006285188832491535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,13.0,0.0005968163976203294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,14.0,0.0006069657545302767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,15.0,0.0006037156795647317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,16.0,0.0005958470770165704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,17.0,0.0005791975701755331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,18.0,0.000559469044946085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,19.0,0.00056431564796488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,20.0,0.0005456704810572802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,21.0,0.0005411089723337083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,22.0,0.000532898256631279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,23.0,0.000538086972804342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,24.0,0.0005480082542781107,1.0842021724855044e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,1.0842021724855044e-19
15,25.0,0.000545043273607789,3.2526065174565133e-19,3.2526065174565133e-19,0.0,0.0,0.0,0.0,3.2526065174565133e-19,0.0,0.0,0.0,0.0,3.2526065174565133e-19
16,26.0,0.0005502890086398967,1.0842021724855044e-18,1.1926223897340549e-18,0.0,0.0,0.0,0.0,1.0842021724855044e-18,0.0,0.0,0.0,0.0,1.1926223897340549e-18
17,27.0,0.0005531969704511737,3.7947076036992655e-18,4.228388472693467e-18,0.0,0.0,0.0,0.0,3.7947076036992655e-18,0.0,0.0,0.0,0.0,4.228388472693467e-18
18,28.0,0.0005610085541402905,1.3010426069826053e-17,1.441988889405721e-17,0.0,0.0,0.0,0.0,1.3010426069826053e-17,0.0,0.0,0.0,0.0,1.441988889405721e-17
19,29.0,0.0005780571929946402,4.3042826247674526e-17,4.7813315806610746e-17,0.0,0.0,0.0,0.0,4.3042826247674526e-17,0.0,0.0,0.0,1.0842021724855044e-19,4.7813315806610746e-17
20,30.0,0.00057646066494139,1.3812735677465326e-16,1.5308934675495323e-16,0.0,0.0,0.0,0.0,1.3812735677465326e-16,0.0,0.0,0.0,2.168404344971009e-19,1.5308934675495323e-16
21,31.0,0.0005630042142068531,4.2869353900076845e-16,4.741216100279111e-16,0.0,0.0,0.0,1.0842021724855044e-19,4.2869353900076845e-16,0.0,0.0,0.0,6.505213034913027e-19,4.741216100279111e-16
22,32.0,0.0005667104400447552,1.288357441564525e-15,1.4225816705182304e-15,0.0,0.0,0.0,2.168404344971009e-19,1.288357441564525e-15,0.0,0.0,0.0,2.2768245622195593e-18,1.4225816705182304e-15
23,33.0,0.0005671095720580678,3.755025804186296e-15,4.13915863389791e-15,0.0,0.0,0.0,8.673617379884035e-19,3.755025804186296e-15,0.0,0.0,0.0,7.37257477290143e-18,4.13915863389791e-15
24,34.0,0.0005690482132655858,1.0622253944492233e-14,1.1689108882217969e-14,0.0,0.0,0.0,2.710505431213761e-18,1.0622253944492233e-14,0.0,0.0,0.0,2.3093506273941244e-17,1.1689108882217969e-14
25,35.0,0.0005867810784284713,2.918943298874099e-14,3.206788133647276e-14,0.0,0.0,0.0,8.565197162635485e-18,2.918943298874099e-14,0.0,0.0,0.0,7.014788055981214e-17,3.206788133647276e-14
26,36.0,0.0005726404013853986,7.798362650079937e-14,8.553108308412272e-14,0.0,0.0,0.0,2.6020852139652106e-17,7.798362650079937e-14,0.0,0.0,1.0842021724855044e-19,2.069741947274828e-16,8.553108308412272e-14
27,37.0,0.0005756053820557203,2.0271295492896302e-13,2.2196155503861892e-13,0.0,0.0,0.0,7.697835424647081e-17,2.0271295492896302e-13,0.0,0.0,2.168404344971009e-19,5.941427905220564e-16,2.2196155503861892e-13
28,38.0,0.0005944786243994987,5.130710309733666e-13,5.608538806989305e-13,0.0,0.0,1.0842021724855044e-19,2.2193618470778276e-16,5.130710309733666e-13,0.0,0.0,6.505213034913027e-19,1.6606724675960471e-15,5.608538806989305e-13
29,39.0,0.0005978997559421776,1.2652971118770617e-12,1.380831863781462e-12,0.0,0.0,3.2526065174565133e-19,6.233078289619165e-16,1.2652971118770617e-12,0.0,0.0,1.951563910473908e-18,4.52285778274053e-15,1.380831863781462e-12
30,40.0,0.0005879784744684089,3.0423711510144114e-12,3.314641204739399e-12,0.0,0.0,8.673617379884035e-19,1.7068594801439296e-15,3.0423711510144114e-12,0.0,0.0,5.9631119486702744e-18,1.2009815884839181e-14,3.314641204739399e-12
31,41.0,0.0006057113396312944,7.1368735574117714e-12,7.762621491783084e-12,0.0,0.0,2.710505431213761e-18,4.560371177908529e-15,7.1368735574117714e-12,0.0,0.0,1.734723475976807e-17,3.1112916062947527e-14,7.762621491783084e-12
32,42.0,0.0005949347752718559,1.634324836921608e-11,1.7746589571140947e-11,0.0,0.0,7.697835424647081e-18,1.1893806252383232e-14,1.634324836921608e-11,0.0,1.0842021724855044e-19,4.911435841359335e-17,7.868272006161803e-14,1.7746589571140947e-11
33,43.0,0.0005811932302420958,3.655523616013373e-11,3.962801040004876e-11,0.0,0.0,2.200930410145574e-17,3.029900549206266e-14,3.655523616013373e-11,0.0,2.168404344971009e-19,1.3617579286417936e-16,1.9435635826431374e-13,3.962801040004876e-11
34,44.0,0.0005811362113830511,7.990548446436957e-11,8.647796367888816e-11,0.0,1.0842021724855044e-19,6.10405823109339e-17,7.543130616655125e-14,7.990548446436957e-11,0.0,7.589415207398531e-19,3.6873715886232006e-16,4.691742870946425e-13,8.647796367888816e-11
35,45.0,0.0005880925121864982,1.7078265071666238e-10,1.8452228319528613e-10,0.0,2.168404344971009e-19,1.6588293239028218e-16,1.8361776942671382e-13,1.7078265071666238e-10,0.0,2.0599841277224584e-18,9.766493169749424e-16,1.1074130978547259e-12,1.8452228319528613e-10
36,46.0,0.0005659121760181302,3.570800583387393e-10,3.8516509285376616e-10,0.0,7.589415207398531e-19,4.408366033326061e-16,4.37252664631238e-13,3.570800583387393e-10,0.0,5.854691731421724e-18,2.5302026099294217e-15,2.557054177773632e-12,3.8516509285376616e-10
37,47.0,0.0005896320213807037,7.307139923522221e-10,7.868737077936297e-10,0.0,2.0599841277224584e-18,1.1466522176206695e-15,1.0190843394847215e-12,7.307139923522221e-10,0.0,1.6154612370034016e-17,6.415657935465724e-15,5.778700326412867e-12,7.868737077936297e-10
38,48.0,0.0005913425871520431,1.4641510328369106e-09,1.5740545999867045e-09,0.0,5.637851296924623e-18,2.919864870720712e-15,2.3256504144350543e-12,1.4641510328369106e-09,0.0,4.380176776841438e-17,1.5928773057505285e-14,1.2787246847327516e-11,1.5740545999867045e-09
39,49.0,0.0005839301354762389,2.8738857542646642e-09,3.0844644228079227e-09,1.0842021724855044e-19,1.5287250632045613e-17,7.283778614974867e-15,5.1990485484473825e-12,2.8738857542646642e-09,1.0842021724855044e-19,1.1633489310769463e-16,3.8740603607034796e-14,2.771846196580191e-11,3.0844644228079227e-09
40,50.0,0.0006023472269476601,5.528142242149786e-09,5.9233290517499496e-09,2.168404344971009e-19,4.0766001685454967e-17,1.7806394379815682e-14,1.1390148915192688e-11,5.528142242149786e-09,2.168404344971009e-19,3.023839859062072e-16,9.233716222190047e-14,5.888264593793824e-11,5.9233290517499496e-09
41,51.0,0.0006154615645279292,1.0425304847161941e-08,1.1151976647694184e-08,6.505213034913027e-19,1.0668549377257364e-16,4.2677016434677917e-14,2.4464410965790995e-11,1.0425304847161941e-08,6.505213034913027e-19,7.707593244199451e-16,2.1576805012829547e-13,1.2263243827533021e-10,1.1151976647694184e-08
42,52.0,0.000621961714459019,1.928258126814627e-08,2.0592293759166998e-08,1.8431436932253575e-18,2.7354420811809277e-16,1.0031851651465251e-13,5.1535555553941514e-11,1.928258126814627e-08,1.734723475976807e-18,1.926518840289493e-15,4.944976719767347e-13,2.504899448670453e-10,2.0592293759166998e-08
43,53.0,0.0006359313349249577,3.499202524438749e-08,3.730655295818876e-08,4.9873299934333204e-18,6.884683795282953e-16,2.3136364785819596e-13,1.065139873003551e-10,3.499202524438749e-08,4.662069341687669e-18,4.72484464747458e-15,1.1119084169022853e-12,5.019988433187933e-10,3.730655295818876e-08
44,54.0,0.000651269408007968,6.232397328461477e-08,6.633576222711286e-08,1.3010426069826053e-17,1.7003542671090166e-15,5.237103068919668e-13,2.1606700012066077e-10,6.232397328461477e-08,1.22514845490862e-17,1.1373280789372942e-14,2.453894292625547e-12,9.874094788336896e-10,6.633576222711286e-08
