,Curves_Predicted,Minimum_AIC_value,Mu1,Mu2,Mu3,Mu4,Mu5,Coef1,Coef2,Coef3,Coef4,Coef5
Sample 1,5,-2484.578,34.88542810303328,56.258517578378076,78.2488266382273,101.1440172053983,129.17319570917178,0.09560709,0.17080046,0.27141429,0.29476422,0.16741393999999993
Sample 2,5,-2663.746,60.53480769072988,85.11535922120395,104.94445394846062,125.75621978417377,153.68832631720898,0.06065941,0.18834823,0.38799816,0.27827044,0.08472376000000004
Sample 3,5,-1075.609,2.7821542041936986,11.240952868132759,25.038819237357647,37.566845386492176,49.499989209814224,0.03452667,0.04721659,0.12885153,0.58430428,0.20510092999999996
Sample 4,4,-1107.44,17.25545808975415,51.40694792271536,34.94730095976561,61.36463841914801,0.0,0.02819265,0.33255074,0.05925308,0.5800035299999999,0.0
Sample 5,5,-2754.021,28.21182143121659,48.195839350480576,74.23549873916593,104.43818689794249,137.34993908317134,0.16343775,0.18392793,0.20197337,0.24145555,0.20920540000000007
Sample 6,5,-1971.503,31.689584298732232,50.265088788359336,67.19035409622494,85.0739661084134,109.54241565847991,0.06467756,0.17385349,0.35540287,0.29157855,0.11448753000000006
Sample 7,5,-902.94,2.539174803052946,14.27842282093641,27.529989519694364,38.27133313230835,51.761568854840064,0.03091871,0.04634871,0.25425539,0.51243198,0.15604520999999993
Sample 8,5,-1066.602,7.766668968600765,20.491503473489114,30.68733529157668,42.78236750936095,60.3834262178367,0.03610221,0.16502759,0.39634257,0.28225236,0.12027526999999999
Sample 9,5,-2267.339,48.28034444131166,69.30135297746051,86.2324469343429,104.37914242568924,128.82138996410504,0.04851062,0.20103836,0.3985124,0.2782749,0.0736637200000001
Sample 10,5,-3623.783,96.09167378261519,124.38093077754253,144.9765267856511,172.71516227960458,212.29104269066835,0.06891085,0.22839333,0.42698388,0.17599554,0.09971639999999998
Sample 11,5,-1979.107,17.156197179771215,31.86584945935067,51.39415639506426,75.03971927584647,101.71997393622124,0.13928694,0.18412488,0.21134798,0.25003378,0.21520642
Sample 12,5,-969.372,2.3729688482811806,12.222600194731807,22.046292131691203,32.89629737515823,48.70432236806057,0.05324459,0.10861629,0.34322364,0.34654992,0.1483655599999999
Sample 13,5,-2009.861,40.17640230286346,59.438363058067914,74.84938479195726,94.56231396241952,118.63247169176275,0.05766718,0.24941134,0.37936678,0.20996103,0.10359366999999997
Sample 14,5,-1370.404,21.345355821499545,36.306860533400176,48.06172867937954,62.70078019050649,81.31543340093828,0.04165797,0.21628513,0.3929446,0.2541575,0.09495479999999995
Sample 15,5,-2150.361,44.39446433915673,65.02316752251285,82.45138457587808,100.75583796168242,124.83174865056412,0.05705396,0.18417781,0.37206142,0.28674167,0.09996514000000006
Sample 16,5,-1152.337,3.301445282300408,13.44941904625474,23.628959293315035,38.691284978299436,60.287158508413,0.06483616,0.22235113,0.31215479,0.22691205,0.17374586999999989
Sample 17,5,-2196.769,41.24638025620264,71.62948182732254,90.10457529179696,107.09747621699823,138.8044033232827,0.04347296,0.12881788,0.46607836,0.3144108,0.04721999999999993
Sample 18,5,-1149.048,2.507569203902693,42.226160835739265,53.44975132911189,16.13973865041838,69.09645819560086,0.02249989,0.14281879,0.66571121,0.0279753,0.14099481000000005
Sample 19,5,-1693.189,28.884141939440777,45.296359277150835,58.945827959836606,75.69206899958178,97.98544701281617,0.04701347,0.23320667,0.38028493,0.24447849,0.09501644000000004
Sample 20,5,-1767.878,19.825933682865028,36.2955336516745,56.81518994384853,78.81415317764251,102.38088121246403,0.10833741,0.15533436,0.21271947,0.30182657,0.22178219
Sample 21,5,-2050.128,41.015631422579666,59.47104870207327,78.6822548142613,98.08369144719029,125.05754504908066,0.07847903,0.20877312,0.33086597,0.27814513,0.10373674999999993
Sample 22,5,-1639.558,29.95018622376877,44.06650225923565,58.113570136024876,75.0092998722181,97.29754768050434,0.07381,0.25592661,0.35236016,0.22559563,0.09230759999999993
