,1,Actual_1,1_val,2,Actual_2,2_val,3,Actual_3,3_val,4,Actual_4,4_val,5,Actual_5,5_val
0,0.0,0.0,4.397556554872677e-05,5.0,0.0,5.057753903200162e-05,10.0,0.0,1.4172396908647041e-05,18.0,0.0,4.222116662644603e-05,24.0,0.0,1.7827808619511313e-05
1,1.0,0.0004,0.00044363815717762974,6.0,0.0004,0.00016977721834160198,11.0,0.0001,3.882884425656105e-05,19.0,0.0001,8.928131689101286e-05,25.0,0.0001,3.5740679538003646e-05
2,2.0,0.0027,0.0022352753473862054,7.0,0.0008,0.0004883947225896035,12.0,0.0001,9.750693278816152e-05,20.0,0.0004,0.00017934070879198162,26.0,0.0,6.889144585353359e-05
3,3.0,0.0078,0.007499909697094092,8.0,0.0008,0.0012290998530183493,13.0,0.0005,0.0002260022961114722,21.0,0.0005,0.00034306167616120166,27.0,0.0,0.000127864023644225
4,4.0,0.0205,0.018851933046402144,9.0,0.0032,0.0027489537623840384,14.0,0.0005,0.0004863668329347389,22.0,0.001,0.0006263635365369661,28.0,0.0003,0.00022882746746609917
5,5.0,0.0362,0.03786681428659524,10.0,0.0062,0.005532313511635562,15.0,0.0009,0.0009768103454106452,23.0,0.0009,0.0010938049811988777,29.0,0.0006,0.0003953656735530517
6,6.0,0.0621,0.06331300076981497,11.0,0.011,0.010119755055826187,16.0,0.0023,0.0018390191235155204,24.0,0.0015,0.0018303504048752235,30.0,0.0007,0.0006602942161879135
7,7.0,0.0858,0.09063421577753498,12.0,0.0191,0.016965286404850476,17.0,0.0038,0.0032583048623922024,25.0,0.0034,0.0029401137408036943,31.0,0.0013,0.0010671035590005973
8,8.0,0.1171,0.1133994410784179,13.0,0.0269,0.026248640014908665,18.0,0.0067,0.0054517008264567245,26.0,0.0053,0.0045407228825083586,32.0,0.0016,0.001670545614899536
9,9.0,0.1304,0.12597604512303134,14.0,0.0356,0.03770372341131271,19.0,0.0097,0.008640713882534361,27.0,0.0083,0.0067524248335569595,33.0,0.0026,0.0025358124231100224
10,10.0,0.1211,0.1258107727032085,15.0,0.0472,0.05053763817499098,20.0,0.0146,0.013009159630817734,28.0,0.0113,0.009681988426300421,34.0,0.0051,0.003735785311006952
11,11.0,0.1175,0.11409450949296061,16.0,0.0639,0.06349410315822772,21.0,0.0195,0.01865168022033194,29.0,0.0146,0.013402743243626945,35.0,0.0057,0.005345994918050804
12,12.0,0.0887,0.09473976168895915,17.0,0.0726,0.07506532411919453,22.0,0.0243,0.025523585794132015,30.0,0.0183,0.017933451452112024,36.0,0.0084,0.0074372381511915
13,13.0,0.0733,0.07253478967169288,18.0,0.0867,0.08379887598513612,23.0,0.0339,0.03340555190349708,31.0,0.023,0.023219770585736082,37.0,0.0103,0.010066223803682939
14,14.0,0.0503,0.05150908275299302,19.0,0.0906,0.08860788138997362,24.0,0.0405,0.04189581043536291,32.0,0.0282,0.029122454735518152,38.0,0.0146,0.013265101296847487
15,15.0,0.0357,0.03410087876256207,20.0,0.0884,0.08899109020958487,25.0,0.0486,0.050437337943439776,33.0,0.0352,0.0354159066739698,39.0,0.0161,0.01703117122503949
16,16.0,0.0225,0.021141001646072997,21.0,0.0838,0.08510357350031575,26.0,0.0569,0.058379283076072305,34.0,0.0399,0.041799208956771534,40.0,0.0201,0.021318372154264933
17,17.0,0.0123,0.012321483755343692,22.0,0.0767,0.0776715652748472,27.0,0.0677,0.06506288504656052,35.0,0.0475,0.047919570945147254,41.0,0.0267,0.026032187302368216
18,18.0,0.0075,0.00677458522067823,23.0,0.0697,0.06779341705411417,28.0,0.0686,0.06991526059859732,36.0,0.0521,0.053405699338349266,42.0,0.0291,0.0310293592654961
19,19.0,0.0042,0.003524735962457087,24.0,0.0548,0.056695153001572296,29.0,0.0751,0.07253189849771814,37.0,0.0566,0.05790650450827609,43.0,0.0362,0.03612324430605065
20,20.0,0.0023,0.0017401984741119796,25.0,0.0462,0.0455084350401646,30.0,0.0722,0.07273127750275062,38.0,0.0617,0.0611293107070121,44.0,0.0421,0.04109485233293481
21,21.0,0.0008,0.0008173081360605804,26.0,0.032,0.0351172779071387,31.0,0.0676,0.07057181821575971,39.0,0.0675,0.0628716578651487,45.0,0.0434,0.045708736571893185
22,22.0,0.0005,0.00036599322986579,27.0,0.0266,0.026090095500285657,32.0,0.0642,0.0663302246812813,40.0,0.0591,0.06304188843594313,46.0,0.0543,0.04973208241416536
