,1,Actual_1,1_val,2,Actual_2,2_val,3,Actual_3,3_val,4,Actual_4,4_val,5,Actual_5,5_val
0,0.0,0.0,4.629666231132501e-05,5.0,0.0,5.161414954051995e-05,10.0,0.0,1.4431860753814856e-05,18.0,0.0,4.301685232692273e-05,24.0,0.0,1.8209144581138916e-05
1,1.0,0.0004,0.0004620610922403076,6.0,0.0004,0.0001727679346795243,11.0,0.0001,3.9465099379129155e-05,19.0,0.0001,9.080153864278345e-05,25.0,0.0001,3.6442667002250864e-05
2,2.0,0.0027,0.0023057866626173588,7.0,0.0008,0.0004956906394159896,12.0,0.0001,9.892715298061053e-05,20.0,0.0004,0.00018208383517637726,26.0,0.0,7.012896376994833e-05
3,3.0,0.0078,0.007670922341641392,8.0,0.0008,0.0012444181795242227,13.0,0.0005,0.0002289052294300861,21.0,0.0005,0.0003477445062432853,27.0,0.0,0.00012995538336028556
4,4.0,0.0205,0.019139796362827467,9.0,0.0032,0.0027769589110478304,14.0,0.0005,0.0004918257181186533,22.0,0.001,0.0006339365279960284,28.0,0.0003,0.00023221852408148206
5,5.0,0.0362,0.03820472047507313,10.0,0.0062,0.005577185248882044,15.0,0.0009,0.0009862875061067925,23.0,0.0009,0.0011054169537236382,29.0,0.0006,0.0004006447716774176
6,6.0,0.0621,0.06354999111577306,11.0,0.011,0.010182818457400794,16.0,0.0023,0.001854244950623844,24.0,0.0015,0.0018472388740278642,30.0,0.0007,0.0006681882618269819
7,7.0,0.0858,0.09060813100569277,12.0,0.0191,0.017042463450071526,17.0,0.0038,0.0032809660737575397,25.0,0.0034,0.0029634065122452493,31.0,0.0013,0.001078444414070241
8,8.0,0.1171,0.11303863466660181,13.0,0.0269,0.026329016409394515,18.0,0.0067,0.005482931126642587,26.0,0.0053,0.004571156214391632,32.0,0.0016,0.0016861973563987785
9,9.0,0.1304,0.12535282096861394,14.0,0.0356,0.03777045492665009,19.0,0.0097,0.008680460108817921,27.0,0.0083,0.006790011019047257,33.0,0.0026,0.0025565546528050587
10,10.0,0.1211,0.12510763947230183,15.0,0.0472,0.050571585874609734,20.0,0.0146,0.013055584077630647,28.0,0.0113,0.009725694596603681,34.0,0.0051,0.0037621558396792204
11,11.0,0.1175,0.11351176139466648,16.0,0.0639,0.06347931131388712,21.0,0.0195,0.0187008164337294,29.0,0.0146,0.013450264043246373,35.0,0.0057,0.005378105955227932
12,12.0,0.0887,0.09440811683039825,17.0,0.0726,0.07499441147239702,22.0,0.0243,0.025569453295650003,30.0,0.0183,0.017981161242681922,36.0,0.0084,0.007474591633671284
13,13.0,0.0733,0.07247958542082245,18.0,0.0867,0.08367621216233091,23.0,0.0339,0.03344083880303293,31.0,0.023,0.023262919712525677,37.0,0.0103,0.010107560824056911
14,14.0,0.0503,0.05166987166909433,19.0,0.0906,0.08844922413383653,24.0,0.0405,0.041913070385135066,32.0,0.0282,0.02915562956014916,38.0,0.0146,0.01330832456457149
15,15.0,0.0357,0.03437920596923612,20.0,0.0884,0.08881977082047632,25.0,0.0486,0.050430470966295216,33.0,0.0352,0.03543371305285891,39.0,0.0161,0.01707337557868455
16,16.0,0.0225,0.021444976629305893,21.0,0.0838,0.08494463796662974,26.0,0.0569,0.05834494463350036,34.0,0.0399,0.0417970785105564,40.0,0.0201,0.02135600529056571
17,17.0,0.0123,0.012590018664681868,22.0,0.0767,0.07754591148977984,27.0,0.0677,0.06500144689536326,35.0,0.0475,0.04789454620719993,41.0,0.0267,0.026061342281074033
18,18.0,0.0075,0.006980774141160373,23.0,0.0697,0.06771372186586007,28.0,0.0686,0.06983104618810675,36.0,0.0521,0.05335704161814976,42.0,0.0291,0.03104617540578121
19,19.0,0.0042,0.0036669053826648415,24.0,0.0548,0.05666449985310829,29.0,0.0751,0.07243260533617825,37.0,0.0566,0.05783599322521525,43.0,0.0362,0.03612436887886473
20,20.0,0.0023,0.0018298665839691782,25.0,0.0462,0.045521510809360594,30.0,0.0722,0.07262671617815018,38.0,0.0617,0.06104116049532708,44.0,0.0421,0.04107789769675244
21,21.0,0.0008,0.0008696607098977586,26.0,0.032,0.03516324411055294,31.0,0.0676,0.07047227149770144,39.0,0.0675,0.06277205618576803,45.0,0.0434,0.04567266067407621
22,22.0,0.0005,0.0003945271424375553,27.0,0.0266,0.0261559674180384,32.0,0.0642,0.06624480832136656,40.0,0.0591,0.06293823267233792,46.0,0.0543,0.04967742744274894
23,23.0,0.0003,0.00017119803238334382,28.0,0.0186,0.018761103207665518,33.0,0.0586,0.060383942360839694,41.0,0.0608,0.06156570641754368,47.0,0.0547,0.052883702920195334
24,,,,29.0,0.0134,0.012992896858387018,34.0,0.0562,0.05342273312352703,42.0,0.0582,0.05878922793709125,48.0,0.0516,0.055124065055926104
25,,,,30.0,0.0088,0.00869821928951997,35.0,0.048,0.0459136283566037,43.0,0.0551,0.054832428540490474,49.0,0.0522,0.056286698217564074
26,,,,31.0,0.0059,0.0056352641059688015,36.0,0.0372,0.03836389288920785,44.0,0.0487,0.04997962404362388,50.0,0.0544,0.056324375663519756
27,,,,32.0,0.0041,0.003536795201615079,37.0,0.031,0.031189219134138284,45.0,0.0435,0.0445439423289352,51.0,0.0574,0.05525693953938815
28,,,,33.0,0.0021,0.002152492213180528,38.0,0.0238,0.02468905465577572,46.0,0.0396,0.03883640306368638,52.0,0.0528,0.05316723815461418
29,,,,34.0,0.0024,0.0012714763549355054,39.0,0.0178,0.019042475700950044,47.0,0.0332,0.033139757180655385,53.0,0.0495,0.05019134668133062
30,,,,35.0,0.0009,0.0007296017383658513,40.0,0.0152,0.014320130467936952,48.0,0.0274,0.027689573392980404,54.0,0.0445,0.046504577771449104
31,,,,36.0,0.0004,0.0004070323951803799,41.0,0.0109,0.010506224435958722,49.0,0.0228,0.022663572253412083,55.0,0.0415,0.04230518837922433
32,,,,37.0,0.0001,0.00022093924606731233,42.0,0.0074,0.007524557056205132,50.0,0.0171,0.018178855629012,56.0,0.0365,0.03779777394514246
33,,,,38.0,0.0,0.00011677096985136612,43.0,0.0061,0.005263759522266852,51.0,0.0146,0.014295670996043877,57.0,0.0346,0.03317813613237939
34,,,,39.0,0.0,6.013341890321333e-05,44.0,0.003,0.0035985448480576583,52.0,0.0099,0.011025781485334129,58.0,0.03,0.02862098712412502
35,,,,40.0,0.0001,3.0192670076751e-05,45.0,0.0026,0.002405459015970534,53.0,0.0092,0.008343373615520821,59.0,0.0241,0.02427130980560166
36,,,,,,,46.0,0.0015,0.001572981758160266,54.0,0.0068,0.006196637801072534,60.0,0.0206,0.020239630537755474
37,,,,,,,47.0,0.0011,0.001006721593918813,55.0,0.005,0.004518576118194685,61.0,0.0158,0.01660096609316641
38,,,,,,,48.0,0.0004,0.0006308871806817314,56.0,0.0043,0.0032360986759662593,62.0,0.0152,0.013396837518810911
39,,,,,,,49.0,0.0004,0.000387292582003957,57.0,0.003,0.0022769583165875335,63.0,0.0102,0.010639527900648642
40,,,,,,,50.0,0.0004,0.00023299828827547426,58.0,0.0017,0.0015744731787209311,64.0,0.0072,0.008317695184536305
41,,,,,,,51.0,0.0,0.000137425115421094,59.0,0.0011,0.0010702652760166585,65.0,0.0068,0.0064025099393498945
42,,,,,,,52.0,0.0,7.949619145788835e-05,60.0,0.0005,0.0007153990597739046,66.0,0.0059,0.004853633091334454
43,,,,,,,53.0,0.0001,4.511843313838749e-05,61.0,0.0006,0.00047035602357914803,67.0,0.004,0.0036245388345671676
44,,,,,,,,,,62.0,0.0002,0.00030425883693352066,68.0,0.0033,0.002666886062390382
45,,,,,,,,,,63.0,0.0001,0.000193691619974788,69.0,0.0024,0.0019338197352953687
46,,,,,,,,,,64.0,0.0001,0.00012137773741808639,70.0,0.0016,0.0013822244316727553
47,,,,,,,,,,65.0,0.0,7.489172968943988e-05,71.0,0.0017,0.0009740490643288587
48,,,,,,,,,,66.0,0.0,4.5509085207253946e-05,72.0,0.0008,0.0006768757484166328
49,,,,,,,,,,67.0,0.0001,2.7241529208739553e-05,73.0,0.0005,0.00046392386204281835
50,,,,,,,,,,,,,74.0,0.0003,0.00031367189561271107
51,,,,,,,,,,,,,75.0,0.0002,0.000209254575154848
52,,,,,,,,,,,,,76.0,0.0002,0.00013775963614060706
