,Actual,Minimum_value,Mu1,Mu2,Mu3,Mu4,Mu5,Coef1,Coef2,Coef3,Coef4,Coef5
0,2.0,-435.965,3.4230329875602066,10.297325442649884,0.0,0.0,0.0,0.32199712,0.67800288,0.0,0.0,0.0
1,1.0,-40.205,2.951098354157264,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,1.0,-104.774,3.37608113585595,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,1.0,-55.865,3.090072395072948,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,2.0,-173.425,3.520161089921397,9.359249712645891,0.0,0.0,0.0,0.69081428,0.30918572,0.0,0.0,0.0
5,3.0,-378.38,3.7458511337020997,9.499727429476604,17.910913513458155,0.0,0.0,0.42968231,0.35294738,0.21737031,0.0,0.0
6,1.0,-124.747,3.5719082231109343,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,2.0,-161.073,3.540447998446672,9.075732182383774,0.0,0.0,0.0,0.65014412,0.34985588,0.0,0.0,0.0
8,1.0,-101.01,3.727268213487624,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,1.0,-113.605,3.0461122205358167,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,2.0,-141.765,3.3753582921447123,9.458740290271928,0.0,0.0,0.0,0.75302819,0.24697181,0.0,0.0,0.0
11,3.0,-256.98,3.5800107293497847,9.171516034917522,17.147836820472435,0.0,0.0,0.48493278,0.37754392,0.13752329999999996,0.0,0.0
12,1.0,-108.413,3.439131935582386,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
