,Actual,Minimum_value,Predicted
0,1,-1066.042,1
1,1,-1121.992,1
2,1,-1163.106,1
3,1,-1049.499,1
4,2,-1111.723,1
5,1,-1093.982,1
6,1,-1100.087,1
7,1,-1127.372,1
8,1,-1149.581,1
9,1,-1380.921,1
10,1,-1087.477,1
11,2,-1143.846,1
12,1,-1115.787,1
13,1,-1270.199,1
14,1,-1201.905,1
15,1,-1262.126,1
16,1,-1163.729,1
17,1,-1116.813,1
18,1,-1049.596,1
19,1,-1051.66,1
20,1,-1054.751,1
21,1,-1025.999,1
22,1,-1096.277,1
23,1,-1319.525,1
24,1,-1131.536,1
25,1,-1084.929,1
26,1,-1083.545,1
27,1,-1032.025,1
28,1,-1106.392,1
29,1,-1140.89,1
30,1,-1116.74,1
31,1,-1040.09,1
32,1,-1118.743,1
33,1,-1143.439,1
34,1,-1142.303,1
35,1,-1132.646,1
36,1,-1256.389,1
37,1,-1075.171,1
38,1,-1205.372,1
39,1,-1144.176,1
40,1,-1067.537,1
41,1,-1265.445,1
42,1,-1054.046,1
43,1,-1016.756,1
44,1,-1076.476,1
45,1,-1040.745,1
46,1,-1073.872,1
47,1,-1071.834,1
48,1,-1072.989,1
49,1,-1109.797,1
50,1,-1367.181,1
51,1,-1140.238,1
52,2,-1111.776,1
53,1,-1071.536,1
54,1,-1012.134,1
55,1,-1066.785,1
56,1,-1039.345,1
57,1,-1156.551,1
58,1,-1115.2,1
59,1,-1046.298,1
60,1,-1120.679,1
61,1,-1028.35,1
62,1,-982.759,1
63,1,-1057.714,1
64,1,-1143.132,1
65,1,-1168.815,1
66,1,-1029.031,1
67,1,-1038.509,1
68,1,-1106.418,1
69,1,-1109.045,1
70,1,-1151.321,1
71,1,-1067.359,1
72,1,-1032.343,1
73,1,-1125.633,1
74,1,-1104.657,1
75,1,-1085.009,1
76,1,-1150.463,1
77,1,-1181.775,1
78,1,-1183.962,1
79,2,-1141.695,1
80,1,-1177.692,1
81,1,-1083.14,1
82,1,-1063.362,1
83,1,-1082.972,1
84,1,-1213.261,1
85,1,-1012.882,1
86,1,-1188.53,1
87,1,-1063.092,1
88,2,-1363.043,1
89,1,-1209.895,1
90,1,-1027.924,1
91,1,-1031.679,1
92,1,-1070.071,1
93,1,-1094.347,1
94,1,-1101.061,1
95,1,-1090.932,1
96,1,-1044.515,1
97,1,-1182.866,1
98,1,-1074.658,1
99,1,-1207.717,1
100,2,-3039.805,2
101,2,-2942.602,2
102,2,-3030.049,2
103,2,-2953.69,2
104,2,-3118.529,2
105,2,-3072.41,2
106,2,-3009.201,2
107,2,-3002.68,2
108,2,-3079.93,2
109,2,-3091.453,2
110,3,-2989.327,2
111,2,-2948.693,2
112,2,-2949.534,2
113,2,-3043.356,2
114,2,-3218.676,2
115,2,-2991.157,2
116,2,-2911.743,2
117,2,-2959.002,2
118,2,-3028.57,2
119,2,-3020.951,2
120,2,-3218.404,2
121,2,-2866.837,2
122,2,-3068.834,2
123,2,-3146.088,2
124,2,-3060.612,2
125,2,-2944.516,2
126,2,-3079.596,2
127,2,-3200.425,2
128,2,-3115.245,2
129,2,-3194.058,2
130,2,-3023.024,2
131,3,-3113.246,2
132,2,-3032.293,2
133,2,-3014.632,2
134,2,-3004.514,2
135,2,-3040.723,2
136,2,-3073.612,2
137,2,-3140.262,2
138,2,-3077.714,2
139,2,-2907.142,2
140,2,-2896.297,2
141,2,-3283.039,2
142,2,-3218.253,2
143,2,-3030.978,2
144,2,-2957.33,2
145,2,-3020.862,2
146,2,-3088.04,2
147,2,-2940.952,2
148,2,-2916.574,2
149,2,-2929.172,2
150,2,-3114.775,2
151,2,-3032.488,2
152,2,-3088.144,2
153,2,-2972.671,2
154,2,-3056.831,2
155,2,-2907.399,2
156,2,-3222.932,2
157,2,-2992.874,2
158,2,-2945.403,2
159,2,-3068.386,2
160,2,-3039.005,2
161,2,-3045.869,2
162,2,-2913.656,2
163,2,-3112.703,2
164,2,-3151.617,2
165,2,-3046.998,2
166,2,-3000.04,2
167,2,-3146.639,2
168,2,-3139.335,2
169,2,-3023.055,2
170,2,-3126.551,2
171,2,-3090.463,2
172,2,-3188.316,2
173,2,-2990.589,2
174,2,-3100.398,2
175,2,-3094.501,2
176,3,-3174.312,2
177,2,-3013.145,2
178,2,-2972.952,2
179,2,-2983.433,2
180,2,-3153.547,2
181,2,-3183.575,2
182,2,-3020.569,2
183,2,-3170.725,2
184,2,-3021.281,2
185,2,-2980.649,2
186,2,-3207.575,2
187,2,-3142.149,2
188,2,-3054.918,2
189,2,-3088.264,2
190,2,-2927.166,2
191,3,-3066.67,2
192,2,-3078.601,2
193,2,-3173.211,2
194,2,-3124.459,2
195,2,-2895.549,2
196,2,-3174.599,2
197,2,-3225.138,2
198,2,-2941.242,2
199,2,-2991.557,2
200,3,-4932.904,3
201,3,-5077.278,3
202,3,-5042.342,3
203,3,-5165.088,3
204,3,-5044.083,3
205,3,-5550.777,3
206,3,-5094.399,3
207,3,-5327.791,3
208,3,-5080.673,3
209,3,-5552.07,3
210,3,-4929.941,3
211,3,-5149.65,3
212,3,-5095.197,3
213,3,-5121.755,3
214,3,-5030.233,3
215,3,-5137.253,3
216,3,-4966.728,3
217,4,-5011.545,3
218,3,-4982.481,3
219,3,-5122.218,3
220,5,-5148.041,3
221,3,-5097.027,3
222,3,-5037.491,3
223,3,-5144.333,3
224,3,-5005.71,3
225,3,-5268.249,3
226,3,-4890.16,3
227,3,-5194.463,3
228,3,-5112.515,3
229,3,-4970.802,3
230,3,-5001.72,3
231,3,-4931.91,3
232,3,-5016.011,3
233,3,-5085.266,3
234,4,-5085.157,3
235,3,-4882.24,3
236,4,-5142.225,3
237,3,-5089.814,3
238,3,-4851.059,3
239,3,-4964.723,3
240,3,-5084.57,3
241,3,-4921.126,3
242,4,-5004.187,3
243,3,-5268.583,3
244,4,-5188.573,3
245,3,-5174.284,3
246,3,-4868.37,3
247,3,-5226.051,3
248,3,-4931.634,3
