,Actual,Minimum_value,Predicted
0,1,-364.061,1
1,2,-322.239,1
2,1,-291.301,1
3,2,-314.452,1
4,1,-321.512,1
5,4,-356.888,1
6,1,-329.078,1
7,1,-310.546,1
8,1,-320.045,1
9,1,-290.649,1
10,1,-310.36,1
11,1,-369.161,1
12,1,-297.074,1
13,1,-280.879,1
14,1,-343.542,1
15,1,-340.086,1
16,1,-312.169,1
17,1,-324.199,1
18,1,-340.151,1
19,1,-311.334,1
20,1,-307.818,1
21,2,-341.096,1
22,2,-317.424,1
23,2,-350.703,1
24,2,-311.442,1
25,1,-320.399,1
26,1,-309.103,1
27,1,-359.251,1
28,1,-306.215,1
29,1,-321.096,1
30,2,-321.295,1
31,1,-330.786,1
32,1,-299.226,1
33,1,-285.466,1
34,1,-314.722,1
35,1,-281.77,1
36,1,-358.985,1
37,1,-344.184,1
38,2,-319.626,1
39,1,-331.512,1
40,2,-299.582,1
41,2,-324.997,1
42,1,-292.942,1
43,1,-352.109,1
44,2,-355.508,1
45,2,-321.013,1
46,2,-326.888,1
47,1,-296.806,1
48,1,-344.19,1
49,1,-312.469,1
50,2,-314.859,1
51,2,-297.454,1
52,1,-300.283,1
53,1,-320.091,1
54,1,-331.949,1
55,1,-300.853,1
56,2,-332.989,1
57,1,-313.438,1
58,1,-338.313,1
59,1,-286.204,1
60,2,-343.308,1
61,1,-298.4,1
62,1,-343.081,1
63,1,-308.311,1
64,1,-290.91,1
65,1,-327.384,1
66,1,-325.598,1
67,1,-321.153,1
68,1,-329.479,1
69,1,-296.272,1
70,1,-301.179,1
71,2,-344.742,1
72,1,-328.107,1
73,1,-362.02,1
74,1,-289.395,1
75,2,-318.937,1
76,2,-322.795,1
77,1,-326.919,1
78,1,-291.491,1
79,1,-350.07,1
80,2,-345.829,1
81,1,-318.893,1
82,2,-289.723,1
83,1,-319.025,1
84,1,-298.916,1
85,1,-328.78,1
86,2,-341.903,1
87,1,-301.852,1
88,1,-330.997,1
89,1,-337.611,1
90,1,-310.414,1
91,2,-320.128,1
92,1,-301.212,1
93,1,-304.561,1
94,1,-302.431,1
95,1,-288.104,1
96,1,-326.955,1
97,2,-287.725,1
98,1,-292.377,1
99,1,-287.289,1
100,2,-650.738,2
101,2,-574.403,2
102,2,-574.101,2
103,2,-590.381,2
104,3,-579.294,2
105,2,-544.882,2
106,3,-565.914,2
107,2,-550.918,2
108,2,-537.211,2
109,2,-542.348,2
110,2,-598.149,2
111,2,-564.876,2
112,2,-572.062,2
113,2,-532.495,2
114,2,-548.232,2
115,2,-527.214,2
116,2,-530.085,2
117,2,-531.543,2
118,2,-529.138,2
119,2,-565.696,2
120,3,-590.208,2
121,2,-562.922,2
122,2,-537.039,2
123,2,-579.825,2
124,2,-507.154,2
125,2,-608.866,2
126,3,-554.231,2
127,2,-555.92,2
128,3,-576.723,2
129,3,-623.395,2
130,2,-555.632,2
131,2,-506.373,2
132,3,-550.603,2
133,2,-576.417,2
134,3,-558.856,2
135,3,-557.74,2
136,2,-566.129,2
137,2,-559.929,2
138,2,-551.088,2
139,2,-576.985,2
140,2,-564.286,2
141,3,-548.383,2
142,2,-578.885,2
143,2,-640.121,2
144,2,-590.532,2
145,3,-508.161,2
146,2,-539.266,2
147,3,-564.1,2
148,2,-559.528,2
149,2,-530.282,2
150,3,-531.556,2
151,2,-629.388,2
152,2,-606.421,2
153,2,-561.419,2
154,2,-622.692,2
155,2,-523.57,2
156,2,-535.935,2
157,3,-554.901,2
158,3,-577.961,2
159,2,-542.087,2
160,3,-517.281,2
161,2,-560.16,2
162,2,-556.325,2
163,2,-553.668,2
164,3,-520.113,2
165,3,-642.153,2
166,2,-559.089,2
167,2,-563.711,2
168,3,-529.175,2
169,3,-591.785,2
170,2,-586.953,2
171,3,-550.515,2
172,2,-581.31,2
173,3,-566.766,2
174,2,-547.481,2
175,3,-546.278,2
176,2,-538.11,2
177,2,-511.508,2
178,2,-518.221,2
179,2,-549.336,2
180,2,-518.756,2
181,2,-522.735,2
182,2,-533.433,2
183,2,-510.313,2
184,2,-566.952,2
185,2,-577.59,2
186,2,-535.68,2
187,3,-543.15,2
188,2,-534.903,2
189,2,-587.906,2
190,2,-543.236,2
191,2,-616.368,2
192,3,-573.377,2
193,2,-525.932,2
194,2,-559.71,2
195,2,-539.982,2
196,3,-527.189,2
197,2,-568.743,2
198,2,-591.799,2
199,2,-536.526,2
200,3,-766.621,3
201,4,-751.863,3
202,3,-736.263,3
203,3,-788.408,3
204,4,-790.804,3
205,3,-799.931,3
206,4,-779.311,3
207,3,-816.355,3
208,3,-757.472,3
209,3,-886.534,3
210,3,-814.369,3
211,4,-760.667,3
