,Better_Model
0,NB
1,NB
2,NB
3,NB
4,P
5,NB
6,NB
7,NB
8,NB
9,NB
10,NB
11,NB
12,P
13,NB
14,P
15,NB
16,NB
17,P
18,P
19,P
20,NB
21,NB
22,P
23,NB
24,P
25,P
26,P
27,NB
28,P
29,NB
30,NB
31,NB
32,P
33,P
34,NB
35,P
36,NB
37,P
38,NB
39,P
40,NB
41,P
42,NB
43,NB
44,P
45,NB
46,NB
47,P
48,P
49,NB
50,P
51,NB
52,P
53,NB
54,P
55,P
56,NB
57,NB
58,NB
59,NB
60,P
61,NB
62,NB
63,NB
64,NB
65,P
66,NB
67,P
68,NB
69,P
70,NB
71,P
72,NB
73,NB
74,NB
75,NB
76,NB
77,P
78,P
79,P
80,NB
81,NB
82,P
83,P
84,NB
85,P
86,NB
87,P
88,P
89,P
90,P
91,NB
92,NB
93,NB
94,NB
95,NB
96,NB
97,NB
98,NB
99,NB
