,Actual,Coef1,Coef2,Coef3,Coef4,Coef5,Minimum_value,Mu1,Mu2,Mu3,Mu4,Mu5,Predicted
0,3,0.33589484,0.31348598,0.3506191800000001,0,0,-218.416,2.43295087,6.11490575,10.1751848,0,0,4
1,2,0.57751162,0.42248838,0.0,0,0,-191.108,2.31579929,8.48811941,0.0,0,0,4
2,2,0.3677802,0.6322198,0.0,0,0,-211.779,2.52065611,7.15393362,0.0,0,0,4
3,3,0.34237187,0.50266415,0.15496398,0,0,-227.29,2.43412633,6.08057832,10.2975212,0,0,4
4,2,0.36743343,0.63256657,0.0,0,0,-189.834,2.51591965,7.13785677,0.0,0,0,4
5,2,0.36509134,0.63490866,0.0,0,0,-222.172,2.51706207,7.1643287,0.0,0,0,4
6,2,0.29411966,0.70588034,0.0,0,0,-290.714,5.69008458,7.81790076,0.0,0,0,2
7,2,0.57621371,0.42378629,0.0,0,0,-202.22,2.3228421,8.49796515,0.0,0,0,4
8,2,0.41118918,0.58881082,0.0,0,0,-219.062,2.70354559,7.88925118,0.0,0,0,5
9,3,0.19794271,0.49979488,0.30226241000000004,0,0,-304.647,3.93788455,6.20899876,9.5508757,0,0,4
10,2,0.52848612,0.47151388000000005,0.0,0,0,-214.681,2.85358541,8.22280163,0.0,0,0,4
11,2,0.76448901,0.23551098999999998,0.0,0,0,-203.124,3.87412961,7.46182991,0.0,0,0,2
12,2,0.25086858,0.74913142,0.0,0,0,-195.477,2.24321755,7.11729632,0.0,0,0,3
13,3,0.28857591,0.30514907,0.40627501999999993,0,0,-278.888,3.59986278,5.47919857,9.95102679,0,0,3
14,2,0.43426596,0.5657340399999999,0.0,0,0,-279.689,4.08937378,8.81180571,0.0,0,0,3
15,2,0.36424907,0.6357509299999999,0.0,0,0,-317.393,5.85628168,9.83175399,0.0,0,0,2
16,2,0.43755546,0.56244454,0.0,0,0,-195.802,2.07727917,9.43856088,0.0,0,0,3
17,2,0.37277524,0.62722476,0.0,0,0,-241.578,2.58116486,9.70016274,0.0,0,0,3
18,2,0.57453503,0.42546497000000005,0.0,0,0,-201.351,2.31502558,8.43835434,0.0,0,0,4
19,2,0.29634571,0.70365429,0.0,0,0,-256.216,2.45317672,7.71939833,0.0,0,0,4
20,3,0.41488244,0.41342341,0.17169415000000005,0,0,-246.661,2.58907896,5.56168722,10.1921573,0,0,4
21,2,0.58890676,0.41109324,0.0,0,0,-213.421,2.79974774,6.28567475,0.0,0,0,3
