,Curves_Predicted,Minimum_AIC_value,Mu1,Mu2,Mu3,Mu4,Mu5,Coef1,Coef2,Coef3,Coef4,Coef5
16001-d106.indelRealigned,1,-514.470018,76.70097364027966,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16001-d1.indelRealigned,1,-552.463778,101.97038486555456,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCTP27-d121.indelRealigned,1,-2619.94389,83.67541957223382,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCTP27.indelRealigned,1,-306.423542,79.04247507838089,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCTP50-d257.indelRealigned,4,-1562.1263,22.917994279829074,37.51129386231437,47.547488942816486,81.46506813263073,0.0,0.08837999,0.40851893,0.30262467,0.20047641,0.0
CCTP50-d409.indelRealigned,5,-1427.19152,21.97615683793513,33.68616264861231,44.19816147507975,70.4766041708049,98.06296066875359,0.07450852,0.43931902,0.15204746,0.13813831,0.19598669000000002
CCTP50.indelRealigned,5,-895.761427,18.270896007424174,27.078492699516712,35.94834332986467,50.72503948415919,59.87087013256892,0.08582118,0.34364583,0.25039129,0.12491836,0.19522334000000002
IFN-R12.indelRealigned,1,-392.553471,96.86291785804394,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IFN-R13.indelRealigned,2,-928.064516,69.09167952562785,86.5232116929883,0.0,0.0,0.0,0.18347067,0.81652933,0.0,0.0,0.0
IFN-R14.indelRealigned,2,-444.854306,105.06090243259808,113.3523739052662,0.0,0.0,0.0,0.37803819,0.62196181,0.0,0.0,0.0
IFN-R15.indelRealigned,2,-510.26625,99.57969911533417,109.2514307912551,0.0,0.0,0.0,0.42315196,0.57684804,0.0,0.0,0.0
IFN-R18.indelRealigned,1,-390.660387,94.27773863810901,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IFN-R19.indelRealigned,1,-396.987151,33.246762512078185,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IFN-R20.indelRealigned,5,-1255.85265,44.25297687084017,60.08910595633141,77.36588785573483,92.10272405438663,92.25268716124195,0.04236384,0.06337653,0.20822589,0.03451603,0.6515177099999999
IFN-R21.indelRealigned,5,-1812.34158,37.98991984212874,68.89765815116512,56.761730246772174,104.96776505830891,125.39023734910701,0.06984234,0.2863879,0.42495597,0.0901965,0.12861729000000005
IFN-R23.indelRealigned,4,-1289.28885,30.225057791042364,60.43788388949191,44.38462845356477,72.21979743165015,0.0,0.02634185,0.53854936,0.09206928,0.34303951,0.0
IFN-R27.indelRealigned,2,-602.152932,127.64747852910305,139.8401196082731,0.0,0.0,0.0,0.4268967,0.5731033,0.0,0.0,0.0
IFN-R34.indelRealigned,4,-894.326798,56.56598194184174,70.11798881047697,83.18269102774981,82.69058695303687,0.0,0.06764867,0.25569354,0.16135931,0.51529848,0.0
IFN-R35.indelRealigned,1,-1529.25456,85.71837120878187,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IFN-R4.indelRealigned,3,-518.694518,97.0604472863464,78.26978818315827,73.9332439645095,0.0,0.0,0.83695412,0.85911339,-0.69606751,0.0,0.0
IFN-R6.indelRealigned,2,-429.24492,77.58830944359349,86.08143000136384,0.0,0.0,0.0,0.46625957,0.5337404299999999,0.0,0.0,0.0
RCT24-d154.indelRealigned,1,-389.680211,94.43540803479746,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RCT24.indelRealigned,1,-78.9337663,13.37713099057454,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
